id_post,id_post_relacionado,score
321,336,0.735
321,438,0.637
321,422,0.6237
322,447,0.7081
322,309,0.6954
322,424,0.6828
322,390,0.6687
323,380,0.9022
323,362,0.7627
323,377,0.6825
323,429,0.6558
324,339,0.8196
324,343,0.7488
324,400,0.6938
324,389,0.682
325,459,0.8914
325,474,0.8323
325,269,0.752
325,488,0.7347
326,317,0.6349
326,438,0.6259
326,430,0.5894
326,501,0.5693
327,491,0.9026
327,266,0.8
327,292,0.6604
327,289,0.6459
328,474,0.8121
328,459,0.7475
328,269,0.7437
328,488,0.7406
329,385,0.9222
329,431,0.6934
329,471,0.6897
329,456,0.6489
330,449,0.7588
330,308,0.7535
330,470,0.6386
330,337,0.6363
331,451,0.7905
331,300,0.7835
331,401,0.7697
331,292,0.664
332,268,0.7741
332,366,0.6725
332,416,0.6527
332,363,0.6125
333,485,0.7535
333,394,0.6867
333,475,0.6125
333,460,0.6036
334,300,0.7681
334,401,0.7184
334,305,0.6995
334,453,0.5929
335,342,0.6435
335,344,0.6259
335,265,0.5978
335,462,0.5667
336,392,0.7447
336,321,0.735
336,460,0.715
336,425,0.6733
337,470,0.917
337,351,0.7822
337,280,0.7417
337,429,0.6927
338,402,0.7806
338,284,0.7051
338,348,0.6314
338,484,0.5526
339,324,0.8196
339,306,0.8066
339,343,0.7471
339,437,0.7024
340,448,0.7403
340,363,0.6169
340,416,0.6048
340,469,0.597
341,423,0.7518
341,455,0.7336
341,392,0.6713
341,425,0.5981
342,281,0.7959
342,456,0.7246
342,471,0.7189
342,480,0.7179
343,447,0.8697
343,400,0.7864
343,324,0.7488
343,339,0.7471
344,462,0.8397
344,397,0.7068
344,499,0.6862
344,265,0.6752
345,419,0.8178
345,469,0.8075
345,476,0.7633
345,300,0.6364
346,454,0.7464
346,309,0.591
346,500,0.5879
346,483,0.5785
347,411,0.8324
347,397,0.8048
347,265,0.7862
347,359,0.6238
348,478,0.8501
348,484,0.685
348,402,0.6824
348,314,0.6681
349,386,0.914
349,298,0.7712
349,429,0.7152
349,408,0.6941
350,461,0.829
350,500,0.6891
350,399,0.5975
350,388,0.5966
351,337,0.7822
351,298,0.6959
351,410,0.6675
351,470,0.6622
352,373,0.7584
352,434,0.744
352,358,0.7203
352,304,0.7139
353,398,0.8171
353,470,0.6511
353,337,0.6076
353,351,0.5899
354,379,0.7518
354,370,0.6602
354,294,0.5946
354,442,0.5237
355,405,0.711
355,457,0.6308
355,497,0.5942
355,285,0.5925
356,403,0.5986
356,263,0.5689
356,314,0.5267
356,409,0.4949
357,444,0.7147
357,267,0.7107
357,405,0.7013
357,302,0.657
358,434,0.8147
358,304,0.7596
358,352,0.7203
358,389,0.7008
359,432,0.7431
359,479,0.7192
359,342,0.6629
359,411,0.6464
360,301,0.7858
360,414,0.753
360,452,0.7169
360,362,0.6704
361,291,0.7872
361,383,0.6998
361,270,0.6794
361,445,0.6575
362,377,0.8807
362,323,0.7627
362,380,0.6852
362,360,0.6704
363,436,0.6832
363,416,0.6799
363,493,0.6715
363,453,0.6562
364,460,0.7
364,372,0.6619
364,277,0.6367
364,287,0.6104
365,416,0.8305
365,494,0.6882
365,268,0.637
365,453,0.6341
366,268,0.7338
366,332,0.6725
366,453,0.637
366,416,0.5993
367,396,0.8563
367,491,0.7555
367,327,0.622
367,451,0.5911
368,484,0.7713
368,288,0.7256
368,407,0.6001
368,295,0.5907
369,498,0.9535
369,407,0.8245
369,263,0.7763
369,463,0.6238
370,299,0.8105
370,296,0.7628
370,354,0.6602
370,487,0.6301
371,403,0.7365
371,314,0.7313
371,315,0.5629
371,375,0.5416
372,395,0.9255
372,422,0.6809
372,328,0.6651
372,364,0.6619
373,417,0.8977
373,352,0.7584
373,304,0.7415
373,428,0.6572
374,379,0.7138
374,420,0.6135
374,278,0.6133
374,275,0.609
375,371,0.5416
375,295,0.537
375,406,0.5211
375,463,0.5141
376,408,0.7413
376,293,0.6631
376,441,0.6492
376,384,0.6222
377,362,0.8807
377,380,0.759
377,293,0.7481
377,467,0.7007
378,481,0.8095
378,478,0.7908
378,402,0.7088
378,348,0.5871
379,294,0.7959
379,354,0.7518
379,374,0.7138
379,421,0.6571
380,323,0.9022
380,377,0.759
380,293,0.7339
380,472,0.7275
381,456,0.6501
381,499,0.6388
381,282,0.596
381,359,0.5782
382,465,0.8917
382,272,0.7346
382,455,0.5792
382,425,0.5518
383,270,0.8264
383,361,0.6998
383,291,0.6643
383,440,0.5454
384,398,0.7009
384,408,0.6256
384,376,0.6222
384,386,0.5959
385,329,0.9222
385,431,0.7732
385,445,0.6631
385,471,0.6368
386,349,0.914
386,408,0.7343
386,298,0.6774
386,301,0.6504
387,413,0.9571
387,488,0.625
387,317,0.5876
387,392,0.5855
388,271,0.6993
388,454,0.6321
388,304,0.6308
388,418,0.6274
389,358,0.7008
389,497,0.6825
389,324,0.682
389,466,0.6529
390,457,0.7321
390,322,0.6687
390,320,0.6623
390,500,0.654
391,393,0.718
391,457,0.6618
391,311,0.6128
391,454,0.6125
392,425,0.8022
392,336,0.7447
392,423,0.6917
392,341,0.6713
393,428,0.8469
393,271,0.7208
393,391,0.718
393,316,0.6074
394,333,0.6867
394,485,0.6847
394,336,0.6261
394,287,0.6256
395,372,0.9255
395,422,0.7474
395,488,0.6526
395,446,0.6365
396,367,0.8563
396,419,0.7022
396,292,0.6815
396,491,0.613
397,347,0.8048
397,282,0.7336
397,344,0.7068
397,445,0.7054
398,353,0.8171
398,384,0.7009
398,472,0.678
398,441,0.6716
399,309,0.7166
399,450,0.7133
399,267,0.5981
399,350,0.5975
400,343,0.7864
400,339,0.7009
400,447,0.7002
400,324,0.6938
401,451,0.7887
401,331,0.7697
401,300,0.735
401,334,0.7184
402,338,0.7806
402,378,0.7088
402,348,0.6824
402,478,0.5867
403,371,0.7365
403,295,0.6447
403,356,0.5986
403,407,0.5918
404,496,0.7611
404,465,0.6762
404,325,0.6374
404,459,0.6229
405,267,0.7136
405,355,0.711
405,357,0.7013
405,466,0.7008
406,319,0.7113
406,463,0.6082
406,489,0.5771
406,284,0.5602
407,498,0.8402
407,369,0.8245
407,263,0.7826
407,463,0.734
408,301,0.8216
408,376,0.7413
408,386,0.7343
408,349,0.6941
409,274,0.7691
409,263,0.6592
409,264,0.6534
409,473,0.6139
410,298,0.8453
410,429,0.6944
410,308,0.6854
410,351,0.6675
411,347,0.8324
411,265,0.7204
411,479,0.7052
411,397,0.6732
412,320,0.7247
412,405,0.6185
412,483,0.5908
412,309,0.5816
413,387,0.9571
413,488,0.6541
413,317,0.6448
413,392,0.6113
414,360,0.753
414,377,0.6421
414,362,0.6408
414,467,0.6322
415,476,0.6009
415,266,0.5763
415,448,0.5744
415,327,0.5515
416,365,0.8305
416,268,0.7653
416,453,0.6864
416,363,0.6799
417,373,0.8977
417,428,0.7417
417,343,0.703
417,271,0.7001
418,466,0.7737
418,388,0.6274
418,304,0.6228
418,483,0.5885
419,345,0.8178
419,396,0.7022
419,300,0.676
419,305,0.6452
420,435,0.7536
420,374,0.6135
420,443,0.5753
420,490,0.5472
421,443,0.7477
421,275,0.7198
421,487,0.6869
421,379,0.6571
422,269,0.7671
422,395,0.7474
422,372,0.6809
422,336,0.6616
423,321,0.8052
423,341,0.7518
423,290,0.7286
423,392,0.6917
424,322,0.6828
424,483,0.6054
424,346,0.5592
424,391,0.5526
425,392,0.8022
425,336,0.6733
425,485,0.6353
425,269,0.6348
426,279,0.918
426,273,0.631
426,427,0.5928
426,479,0.569
427,431,0.6827
427,397,0.6773
427,279,0.6739
427,445,0.6647
428,271,0.888
428,393,0.8469
428,316,0.7693
428,417,0.7417
429,298,0.8502
429,349,0.7152
429,410,0.6944
429,337,0.6927
430,290,0.8918
430,438,0.6202
430,328,0.595
430,423,0.59
431,385,0.7732
431,499,0.7249
431,329,0.6934
431,427,0.6827
432,462,0.753
432,359,0.7431
432,397,0.6721
432,282,0.605
433,285,0.7846
433,468,0.605
433,388,0.5948
433,304,0.5855
434,358,0.8147
434,352,0.744
434,437,0.6407
434,417,0.6337
435,420,0.7536
435,313,0.5984
435,421,0.5715
435,275,0.5525
436,493,0.8756
436,363,0.6832
436,469,0.5854
436,334,0.5626
437,339,0.7024
437,439,0.6943
437,358,0.6751
437,417,0.6413
438,290,0.7351
438,475,0.7024
438,486,0.702
438,455,0.686
439,437,0.6943
439,352,0.6523
439,373,0.6441
439,457,0.5957
440,479,0.662
440,427,0.6151
440,291,0.6088
440,411,0.5786
441,492,0.8232
441,398,0.6716
441,376,0.6492
441,386,0.6317
442,294,0.6737
442,312,0.6371
442,490,0.6116
442,421,0.5947
443,421,0.7477
443,275,0.6041
443,312,0.5765
443,420,0.5753
444,357,0.7147
444,306,0.65
444,324,0.6125
444,339,0.6109
445,282,0.7872
445,397,0.7054
445,273,0.7002
445,427,0.6647
446,287,0.7822
446,276,0.7233
446,317,0.7065
446,372,0.6428
447,343,0.8697
447,322,0.7081
447,400,0.7002
447,324,0.6606
448,340,0.7403
448,453,0.6436
448,363,0.6404
448,415,0.5744
449,330,0.7588
449,408,0.6367
449,386,0.6168
449,452,0.5896
450,309,0.824
450,500,0.7135
450,399,0.7133
450,267,0.6212
451,331,0.7905
451,401,0.7887
451,305,0.7585
451,289,0.6891
452,360,0.7169
452,380,0.6675
452,349,0.6134
452,449,0.5896
453,416,0.6864
453,363,0.6562
453,448,0.6436
453,366,0.637
454,483,0.8376
454,346,0.7464
454,388,0.6321
454,457,0.631
455,283,0.8429
455,341,0.7336
455,438,0.686
455,486,0.6618
456,342,0.7246
456,381,0.6501
456,329,0.6489
456,385,0.5945
457,500,0.7472
457,390,0.7321
457,391,0.6618
457,311,0.6399
458,476,0.7519
458,345,0.5788
458,469,0.5509
458,289,0.5412
459,474,0.9103
459,325,0.8914
459,328,0.7475
459,496,0.6813
460,336,0.715
460,364,0.7
460,486,0.6596
460,283,0.6405
461,350,0.829
461,468,0.6619
461,302,0.6304
461,388,0.5944
462,344,0.8397
462,432,0.753
462,397,0.6353
462,281,0.6149
463,407,0.734
463,369,0.6238
463,406,0.6082
463,263,0.5822
464,284,0.6865
464,481,0.5823
464,295,0.5499
464,463,0.536
465,382,0.8917
465,272,0.8123
465,496,0.6777
465,404,0.6762
466,418,0.7737
466,405,0.7008
466,389,0.6529
466,267,0.6368
467,377,0.7007
467,337,0.6524
467,414,0.6322
467,330,0.6215
468,461,0.6619
468,306,0.6325
468,433,0.605
468,388,0.6009
469,345,0.8075
469,300,0.6088
469,340,0.597
469,419,0.5933
470,337,0.917
470,351,0.6622
470,353,0.6511
470,280,0.6408
471,342,0.7189
471,329,0.6897
471,385,0.6368
471,265,0.6066
472,380,0.7275
472,398,0.678
472,293,0.6354
472,492,0.6084
473,319,0.7095
473,288,0.6808
473,264,0.6587
473,409,0.6139
474,459,0.9103
474,325,0.8323
474,328,0.8121
474,372,0.6571
475,486,0.8116
475,438,0.7024
475,392,0.67
475,455,0.6468
476,345,0.7633
476,458,0.7519
476,266,0.7343
476,415,0.6009
477,315,0.6768
477,264,0.5649
477,409,0.5554
477,319,0.542
478,348,0.8501
478,378,0.7908
478,481,0.774
478,315,0.5959
479,359,0.7192
479,411,0.7052
479,440,0.662
479,279,0.6582
480,281,0.8951
480,342,0.7179
480,265,0.5939
480,456,0.5916
481,378,0.8095
481,478,0.774
481,484,0.7176
481,348,0.6343
482,410,0.616
482,349,0.5679
482,429,0.5206
482,280,0.5152
483,454,0.8376
483,285,0.7141
483,405,0.648
483,466,0.6311
484,368,0.7713
484,481,0.7176
484,348,0.685
484,402,0.57
485,333,0.7535
485,394,0.6847
485,272,0.653
485,425,0.6353
486,475,0.8116
486,438,0.702
486,455,0.6618
486,460,0.6596
487,421,0.6869
487,370,0.6301
487,278,0.6101
487,299,0.6097
488,269,0.8224
488,328,0.7406
488,325,0.7347
488,459,0.6748
489,288,0.6844
489,348,0.6131
489,406,0.5771
489,319,0.5671
490,318,0.7453
490,294,0.6548
490,442,0.6116
490,313,0.6073
491,327,0.9026
491,266,0.7634
491,367,0.7555
491,292,0.6155
492,441,0.8232
492,298,0.6945
492,349,0.6728
492,410,0.6408
493,436,0.8756
493,363,0.6715
493,401,0.6546
493,451,0.632
494,365,0.6882
494,416,0.5585
494,332,0.5532
494,340,0.5302
495,500,0.8169
495,497,0.8159
495,304,0.629
495,302,0.5894
496,317,0.7879
496,501,0.7736
496,404,0.7611
496,459,0.6813
497,495,0.8159
497,389,0.6825
497,500,0.6558
497,320,0.647
498,369,0.9535
498,407,0.8402
498,263,0.7628
498,274,0.5701
499,431,0.7249
499,282,0.7039
499,344,0.6862
499,381,0.6388
500,495,0.8169
500,457,0.7472
500,450,0.7135
500,311,0.6985
501,496,0.7736
501,317,0.7723
501,446,0.6379
501,277,0.5777
504,412,0.2421
504,346,0.2218
504,309,0.2125
504,483,0.2093
508,499,0.262
508,282,0.2288
508,456,0.2254
508,480,0.214
